company,price,change
Microsoft Corporation (MSFT),369.67,(+0.04%)
International Business Machines Corporation (IBM),152.58,(+1.44%)
General Electric Company (GE),116.30,(-0.81%)
Union Pacific Corporation (UNP),218.08,(+1.11%)
Costco Wholesale Corporation (COST),596.78,(+1.01%)
McDonald's Corporation (MCD),270.39,(-0.41%)
Visa Inc. (V),248.11,(+0.47%)
Walmart Inc. (WMT),169.78,(+1.27%)
The Walt Disney Company (DIS),93.93,(+3.14%)
3M Company (MMM),96.82,(+1.95%)
Intel Corporation (INTC),40.61,(+3.04%)
American Express Company (AXP),159.43,(+1.61%)
Apple Inc. (AAPL),188.01,(+0.30%)
The Boeing Company (BA),208.71,(+0.60%)
"Cisco Systems, Inc. (CSCO)",53.28,(+0.21%)
"The Goldman Sachs Group, Inc. (GS)",337.60,(-0.33%)
JPMorgan Chase & Co. (JPM),149.74,(+0.88%)
"Salesforce, Inc. (CRM)",219.42,(-0.80%)
Verizon Communications Inc. (VZ),36.00,(+0.33%)
